From	To
P19544	WT1
Q9UJY1	HSPB8
Q14432	PDE3A
O75762	TRPA1
O14921	RGS13
O15217	GSTA4
P47736	RAP1GAP
Q08495	DMTN
Q13522	PPP1R1A
O95180	CACNA1H
P54296	MYOM2
Q9Y233	PDE10A
Q9UD71	PPP1R1B
O15554	KCNN4
Q14847	LASP1
P17655	CAPN2
Q99259	GAD1
Q07955	SRSF1
Q02952	AKAP12
O43164	PJA2
O00482	NR5A2
O94811	TPPP
Q96T88	UHRF1
Q00059	TFAM
Q9UH77	KLHL3
Q9Y4C1	KDM3A
Q92917	GPKOW
O60479	DLX3
Q09470	KCNA1
Q9GZU1	MCOLN1
P62195	PSMC5
P53805	RCAN1
P41181	AQP2
P04083	ANXA1
O94763	URI1
Q08493	PDE4C
P54253	ATXN1
P20265	POU3F2
O00231	PSMD11
Q9UII2	ATP5IF1
P01892	HLA-A
Q9NQA5	TRPV5
P62834	RAP1A
P05023	ATP1A1
Q9HCR9	PDE11A
Q9Y6D6	ARFGEF1
Q92597	NDRG1
P17676	CEBPB
P35240	NF2
P12270	TPR
Q13576	IQGAP2
P17542	TAL1
Q9H3Z4	DNAJC5
P48436	SOX9
P52565	ARHGDIA
O15551	CLDN3
Q9UH99	SUN2
Q8TAE6	PPP1R14C
Q8IWU9	TPH2
Q9NP97	DYNLRB1
P26599	PTBP1
Q01130	SRSF2
Q14344	GNA13
P13612	ITGA4
P17302	GJA1
Q12802	AKAP13
O60928	KCNJ13
P08588	ADRB1
P10412	H1-4
P55273	CDKN2D
Q96P20	NLRP3
P05093	CYP17A1
Q7LDG7	RASGRP2
Q68EM7	ARHGAP17
Q14103	HNRNPD
O43665	RGS10
P15924	DSP
Q9H492	MAP1LC3A
P37802	TAGLN2
Q9NP71	MLXIPL
O43181	NDUFS4
P16144	ITGB4
O95295	SNAPIN
Q15149	PLEC
P55064	AQP5
Q8WVI7	PPP1R1C
Q99996	AKAP9
Q15054	POLD3
P22459	KCNA4
Q9HC16	APOBEC3G
P16066	NPR1
O14558	HSPB6
P19793	RXRA
Q9NPC2	KCNK9
P30518	AVPR2
P48549	KCNJ3
P23771	GATA3
P63252	KCNJ2
Q16790	CA9
Q16531	DDB1
O76074	PDE5A
Q13185	CBX3
Q9UMX1	SUFU
Q16891	IMMT
P55087	AQP4
P32245	MC4R
P49685	GPR15
O14649	KCNK3
P51787	KCNQ1
P41161	ETV5
Q92837	FRAT1
Q07820	MCL1
P49715	CEBPA
Q16828	DUSP6
Q16690	DUSP5
P49023	PXN
Q05682	CALD1
Q9NYA1	SPHK1
Q9H8Y8	GORASP2
Q8WX93	PALLD
P50616	TOB1
P10415	BCL2
Q9NQ66	PLCB1
Q13950	RUNX2
O75030	MITF
Q13614	MTMR2
P41212	ETV6
P19419	ELK1
P12980	LYL1
P08047	SP1
O43561	LAT
Q15788	NCOA1
Q96RK0	CIC
Q92793	CREBBP
Q01196	RUNX1
Q96FF9	CDCA5
P17861	XBP1
Q8IZP0	ABI1
P35658	NUP214
P20339	RAB5A
Q9NRA0	SPHK2
C9JLW8	MCRIP1
P49407	ARRB1
P78347	GTF2I
Q14790	CASP8
Q9BR01	SULT4A1
Q9ULC4	MCTS1
Q8N9N5	BANP
Q16559	TAL2
P63000	RAC1
Q15046	KARS1
O60244	MED14
P29966	MARCKS
Q9UHB6	LIMA1
Q96Q27	ASB2
Q9UKX7	NUP50
Q02447	SP3
P14784	IL2RB
P42702	LIFR
P62070	RRAS2
Q969H0	FBXW7
P35228	NOS2
O60331	PIP5K1C
P27824	CANX
Q12931	TRAP1
Q92908	GATA6
Q86UC2	RSPH3
Q9UQC2	GAB2
P10828	THRB
P10301	RRAS
Q92797	SYMPK
Q9NRF2	SH2B1
Q16254	E2F4
Q8NET8	TRPV3
P41182	BCL6
Q12772	SREBF2
P43364	MAGEA11
Q14934	NFATC4
P02686	MBP
Q9UPT5	EXOC7
Q8NB16	MLKL
P09622	DLD
O95238	SPDEF
Q6U7Q0	ZNF322
P27707	DCK
Q99814	EPAS1
P56817	BACE1
O43312	MTSS1
P06730	EIF4E
P08559	PDHA1
P29803	PDHA2
P61160	ACTR2
Q969U6	FBXW5
Q15154	PCM1
Q15468	STIL
O43303	CCP110
O75410	TACC1
Q9Y295	DRG1
P10644	PRKAR1A
Q8ND76	CCNY
Q9BXH1	BBC3
O43157	PLXNB1
Q96N67	DOCK7
P00338	LDHA
Q13813	SPTAN1
Q9Y2W1	THRAP3
P06396	GSN
Q9H5V8	CDCP1
Q12879	GRIN2A
P52732	KIF11
P30411	BDKRB2
P19022	CDH2
Q03135	CAV1
P35790	CHKA
Q13480	GAB1
O43823	AKAP8
P32248	CCR7
Q92945	KHSRP
P26010	ITGB7
P23246	SFPQ
Q93052	LPP
O15492	RGS16
Q9Y371	SH3GLB1
Q9UPT8	ZC3H4
Q9NWQ8	PAG1
Q8N556	AFAP1
Q13322	GRB10
Q13435	SF3B2
Q9NYF8	BCLAF1
Q15654	TRIP6
Q9Y613	FHOD1
P16662	UGT2B7
O75955	FLOT1
Q15691	MAPRE1
P33151	CDH5
Q92556	ELMO1
P48167	GLRB
Q13002	GRIK2
P07355	ANXA2
O75604	USP2
P15529	CD46
O00560	SDCBP
Q9ULV8	CBLC
O15455	TLR3
Q92734	TFG
O43490	PROM1
Q8IZL8	PELP1
Q9BXP5	SRRT
Q96TC7	RMDN3
P19367	HK1
Q9UGK3	STAP2
Q96P31	FCRL3
Q13642	FHL1
P09327	VIL1
O15162	PLSCR1
P01889	HLA-B
Q9Y3Q4	HCN4
P49279	SLC11A1
P48048	KCNJ1
P31431	SDC4
P01111	NRAS
Q9NZQ3	NCKIPSD
Q68CZ2	TNS3
Q9UKT4	FBXO5
Q9NV92	NDFIP2
P98175	RBM10
Q15642	TRIP10
Q02153	GUCY1B1
P60953	CDC42
Q99961	SH3GL1
P49789	FHIT
Q8IXH7	NELFCD
Q15417	CNN3
Q16595	FXN
P56945	BCAR1
P07737	PFN1
Q96AC1	FERMT2
Q96AE4	FUBP1
O95297	MPZL1
Q9NPY3	CD93
P05106	ITGB3
Q9H7P9	PLEKHG2
O15056	SYNJ2
P51692	STAT5B
Q13905	RAPGEF1
P63010	AP2B1
P51809	VAMP7
Q96KG7	MEGF10
Q9P219	CCDC88C
P19404	NDUFV2
P52789	HK2
P23743	DGKA
P36544	CHRNA7
P18827	SDC1
Q9UKW4	VAV3
Q92529	SHC3
P23528	CFL1
P53801	PTTG1IP
P31040	SDHA
O14746	TERT
O43597	SPRY2
P57737	CORO7
P30556	AGTR1
P02786	TFRC
P34741	SDC2
Q92558	WASF1
P22001	KCNA3
A1X283	SH3PXD2B
Q99439	CNN2
Q969H4	CNKSR1
Q00610	CLTC
Q9NZC7	WWOX
Q05586	GRIN1
Q7L0Q8	RHOU
Q9BZG1	RAB34
P14923	JUP
Q8WWM7	ATXN2L
Q13017	ARHGAP5
Q6UN15	FIP1L1
P08727	KRT19
Q14721	KCNB1
Q9UN19	DAPP1
P11511	CYP19A1
Q9UK17	KCND3
P78352	DLG4
Q9NR80	ARHGEF4
P50281	MMP14
O43613	HCRTR1
P12235	SLC25A4
Q5TKA1	LIN9
Q12800	TFCP2
Q8TDN4	CABLES1
E9PAV3	NACA
O75469	NR1I2
O75531	BANF1
Q4VCS5	AMOT
Q6STE5	SMARCD3
P78545	ELF3
Q9NPB6	PARD6A
Q9H8V3	ECT2
Q9UJU6	DBNL
Q8N1K5	THEMIS
P27348	YWHAQ
P55196	AFDN
Q15058	KIF14
Q9H3D4	TP63
P17181	IFNAR1
O15304	SIVA1
O43294	TGFB1I1
Q15633	TARBP2
Q96P48	ARAP1
P09467	FBP1
Q15436	SEC23A
O75143	ATG13
P08237	PFKM
P06733	ENO1
O15027	SEC16A
Q9Y4P1	ATG4B
A2RUS2	DENND3
O95140	MFN2
Q99952	PTPN18
P09038	FGF2
Q99728	BARD1
P19338	NCL
Q14135	VGLL4
Q9NTG7	SIRT3
Q06830	PRDX1
Q9HCH0	NCKAP5L
Q96R06	SPAG5
Q9NTI5	PDS5B
Q14CB8	ARHGAP19
O75122	CLASP2
Q14978	NOLC1
Q13586	STIM1
P11171	EPB41
Q14643	ITPR1
Q14202	ZMYM3
Q9H1A4	ANAPC1
Q8IZD2	KMT2E
Q02880	TOP2B
Q7Z3J3	RGPD4
Q9GZM8	NDEL1
P17096	HMGA1
Q13428	TCOF1
Q01581	HMGCS1
Q9NZT2	OGFR
P50570	DNM2
O94761	RECQL4
A6NKT7	RGPD3
O43148	RNMT
P52948	NUP98
Q9BYG3	NIFK
P63279	UBE2I
Q09666	AHNAK
Q96IF1	AJUBA
Q13042	CDC16
O94782	USP1
P04183	TK1
Q92574	TSC1
O15446	POLR1G
Q99661	KIF2C
Q92993	KAT5
Q5FBB7	SGO1
Q01167	FOXK2
Q9NZJ0	DTL
P49915	GMPS
P33316	DUT
Q5TB30	DEPDC1
O60701	UGDH
P43307	SSR1
Q8IWB6	TEX14
P98170	XIAP
P48200	IREB2
Q9GZV5	WWTR1
O60566	BUB1B
P49459	UBE2A
Q08050	FOXM1
O94762	RECQL5
P18754	RCC1
Q14807	KIF22
P15927	RPA2
P0C1Z6	TFPT
O00571	DDX3X
P26368	U2AF2
Q14CS0	UBXN2B
Q14739	LBR
Q9UNZ2	NSFL1C
Q8IX90	SKA3
O15287	FANCG
O60610	DIAPH1
Q12959	DLG1
Q9UPU5	USP24
Q9UJX5	ANAPC4
Q53EZ4	CEP55
Q14C86	GAPVD1
P06748	NPM1
Q9Y2I6	NINL
Q14157	UBAP2L
O75154	RAB11FIP3
Q5BJF6	ODF2
Q9UQR0	SCML2
O00562	PITPNM1
Q9Y2V2	CARHSP1
O14773	TPP1
P31350	RRM2
Q9UHD8	SEPTIN9
Q8WWK9	CKAP2
Q9Y5N6	ORC6
O95251	KAT7
Q8TAP9	MPLKIP
P82970	HMGN5
Q9UBF8	PI4KB
Q96JH7	VCPIP1
Q99666	RGPD5
Q99666	RGPD6
Q9H4X1	RGCC
Q6PGQ7	BORA
Q9H467	CUEDC2
Q9UJX2	CDC23
P49916	LIG3
O14715	RGPD8
Q9NQR1	KMT5A
P35251	RFC1
P05067	APP
Q9Y3Z3	SAMHD1
O00267	SUPT5H
Q9UJ70	NAGK
O14745	SLC9A3R1
P54578	USP14
P23769	GATA2
Q96C19	EFHD2
O14980	XPO1
P42166	TMPO
Q14244	MAP7
Q9NZH5	PTTG2
Q96T23	RSF1
Q96C36	PYCR2
Q06413	MEF2C
O43663	PRC1
P33993	MCM7
P22234	PAICS
Q6Y7W6	GIGYF2
Q2NKX8	ERCC6L
P13051	UNG
Q9Y5T5	USP16
P26358	DNMT1
O00399	DCTN6
Q9Y4H2	IRS2
P61020	RAB5B
Q9H1E3	NUCKS1
O75152	ZC3H11A
P20338	RAB4A
Q8NFH8	REPS2
P30101	PDIA3
Q06481	APLP2
Q96Q89	KIF20B
O00401	WASL
P18084	ITGB5
P62826	RAN
Q93045	STMN2
Q70E73	RAPH1
Q8WYQ5	DGCR8
P17931	LGALS3
Q12968	NFATC3
P02810	PRH1
P02810	PRH2
P14625	HSP90B1
O43255	SIAH2
Q9UHR4	BAIAP2L1
P61289	PSME3
P16403	H1-2
P23560	BDNF
O60673	REV3L
Q08289	CACNB2
P56524	HDAC4
P13688	CEACAM1
Q14524	SCN5A
Q15722	LTB4R
P21399	ACO1
P09693	CD3G
Q9BSQ5	CCM2
Q9BUL8	PDCD10
Q03431	PTH1R
P12004	PCNA
P78324	SIRPA
P15923	TCF3
P17813	ENG
P51608	MECP2
Q96SN8	CDK5RAP2
Q96I25	RBM17
Q96SD1	DCLRE1C
Q14191	WRN
Q9UGP5	POLL
P23025	XPA
Q9H9Q4	NHEJ1
P13010	XRCC5
Q00839	HNRNPU
O43918	AIRE
P31270	HOXA11
Q9H4A6	GOLPH3
Q9BQ15	NABP2
P49917	LIG4
Q9NUW8	TDP1
P22415	USF1
P55895	RAG2
P55072	VCP
P52945	PDX1
Q8TCS8	PNPT1
Q9BYX4	IFIH1
P30622	CLIP1
Q92900	UPF1
P40429	RPL13A
P09493	TPM1
Q8WUI4	HDAC7
O60602	TLR5
Q15276	RABEP1
O75628	REM1
Q9Y3E5	PTRH2
Q9BST9	RTKN
P53367	ARFIP1
Q13671	RIN1
P22059	OSBP
O00206	TLR4
P49005	POLD2
P68363	TUBA1B
P23588	EIF4B
P07437	TUBB
Q15750	TAB1
P38159	RBMX
Q5SQI0	ATAT1
P62820	RAB1A
O75170	PPP6R2
O14493	CLDN4
Q7RTN6	STRADA
Q13485	SMAD4
P55327	TPD52
Q155Q3	DIXDC1
Q99689	FEZ1
P11216	PYGB
Q9UMS4	PRPF19
Q9NQT8	KIF13B
Q7L804	RAB11FIP2
Q9H4P4	RNF41
P46939	UTRN
Q6WKZ4	RAB11FIP1
P49757	NUMB
O60829	PAGE4
O00213	APBB1
Q9UN36	NDRG2
Q92542	NCSTN
P14672	SLC2A4
P42858	HTT
Q9Y5X2	SNX8
P52655	GTF2A1
Q15545	TAF7
O43768	ENSA
Q9UL17	TBX21
P55317	FOXA1
Q6P1J9	CDC73
Q9C0H9	SRCIN1
Q13573	SNW1
Q6ZUJ8	PIK3AP1
Q14498	RBM39
P16333	NCK1
P43351	RAD52
P46109	CRKL
P15498	VAV1
P17275	JUNB
O14818	PSMA7
Q03468	ERCC6
P15391	CD19
O15269	SPTLC1
Q9Y6H1	CHCHD2
O94916	NFAT5
P07203	GPX1
O95433	AHSA1
Q92731	ESR2
P56962	STX17
P55081	MFAP1
Q9UBU7	DBF4
O75475	PSIP1
Q9NS91	RAD18
Q00653	NFKB2
P58012	FOXL2
P49768	PSEN1
O95271	TNKS
P12036	NEFH
Q9NRR4	DROSHA
Q07812	BAX
Q96KS0	EGLN2
Q9UKA4	AKAP11
Q9Y2X9	ZNF281
Q9BZS1	FOXP3
O43602	DCX
P22670	RFX1
Q15853	USF2
Q96F46	IL17RA
O43623	SNAI2
P20393	NR1D1
Q9UKT5	FBXO4
Q9NRD5	PICK1
O75952	CABYR
Q9HB09	BCL2L12
Q99626	CDX2
Q14195	DPYSL3
Q9Y6H5	SNCAIP
Q9H0Z9	RBM38
Q01201	RELB
Q16236	NFE2L2
P12524	MYCL
P16401	H1-5
Q14494	NFE2L1
O00327	ARNTL
Q13887	KLF5
O15516	CLOCK
O15033	AREL1
Q16611	BAK1
Q96T51	RUFY1
P62258	YWHAE
Q15599	SLC9A3R2
P43354	NR4A2
O14994	SYN3
P22314	UBA1
Q99801	NKX3-1
Q02363	ID2
P20823	HNF1A
O75533	SF3B1
Q9NP31	SH2D2A
Q9H204	MED28
P20963	CD247
Q9BWW4	SSBP3
P20138	CD33
Q8IVM0	CCDC50
P16284	PECAM1
P52630	STAT2
Q13291	SLAMF1
Q13444	ADAM15
Q96LC7	SIGLEC10
O14543	SOCS3
Q15637	SF1
Q9BSJ6	PIMREG
P10914	IRF1
O14519	CDK2AP1
O43464	HTRA2
Q9Y3F4	STRAP
Q969S3	ZNF622
P84022	SMAD3
Q08999	RBL2
P50502	ST13
O75061	DNAJC6
P62280	RPS11
P46459	NSF
P62841	RPS15
Q13155	AIMP2
P19634	SLC9A1
Q99958	FOXC2
Q8WYK2	JDP2
P78356	PIP4K2B
P21462	FPR1
Q9UBK2	PPARGC1A
P21397	MAOA
Q9UK80	USP21
P42574	CASP3
P06702	S100A9
Q8NHW3	MAFA
Q9BR76	CORO1B
P42566	EPS15
O60381	HBP1
P42677	RPS27
Q15075	EEA1
P13726	F3
P13473	LAMP2
Q8TE85	GRHL3
Q06330	RBPJ
Q9C026	TRIM9
Q9H1K0	RBSN
P02511	CRYAB
O15198	SMAD9
O43257	ZNHIT1
Q13309	SKP2
P18850	ATF6
Q96CW1	AP2M1
O95471	CLDN7
Q13507	TRPC3
Q9BUZ4	TRAF4
Q9Y261	FOXA2
Q676U5	ATG16L1
Q8N3F0	MTURN
Q86VP1	TAX1BP1
Q04864	REL
P62324	BTG1
P13639	EEF2
Q9H211	CDT1
O75179	ANKRD17
Q5JTZ9	AARS2
P78317	RNF4
Q13352	ITGB3BP
Q8WYH8	ING5
Q99607	ELF4
Q15554	TERF2
Q9NSV4	DIAPH3
P28324	ELK4
P12268	IMPDH2
P12272	PTHLH
Q99741	CDC6
Q92698	RAD54L
Q15813	TBCE
Q53GL7	PARP10
P31943	HNRNPH1
Q99708	RBBP8
Q9NYB0	TERF2IP
A1KXE4	FAM168B
Q13330	MTA1
Q96E09	FAM122A
Q6P1N0	CC2D1A
Q53H80	AKIRIN2
P54198	HIRA
Q9Y2K7	KDM2A
Q14207	NPAT
P30050	RPL12
Q9UM11	FZR1
Q9H425	C1orf198
Q9NP87	POLM
P33991	MCM4
Q9BXR0	QTRT1
Q9H2G4	TSPYL2
O60271	SPAG9
Q05516	ZBTB16
P29374	ARID4A
Q5TZA2	CROCC
Q9ULX3	NOB1
Q9NRH3	TUBG2
Q86T82	USP37
Q86XL3	ANKLE2
Q9H3P2	NELFA
Q9UKY1	ZHX1
P08621	SNRNP70
Q8WXE1	ATRIP
Q13416	ORC2
Q96II8	LRCH3
Q02535	ID3
Q9Y676	MRPS18B
Q13415	ORC1
Q8IXM2	BAP18
P28749	RBL1
Q92547	TOPBP1
Q92785	DPF2
Q0VD86	INCA1
Q02539	H1-1
P62913	RPL11
Q9C0C2	TNKS1BP1
P38919	EIF4A3
Q9Y253	POLH
Q9C0C9	UBE2O
P23258	TUBG1
O14686	KMT2D
Q13242	SRSF9
P48634	PRRC2A
Q71UM5	RPS27L
O15014	ZNF609
O14497	ARID1A
Q9H910	JPT2
Q7KZ85	SUPT6H
Q12948	FOXC1
Q6UB35	MTHFD1L
Q15047	SETDB1
O60934	NBN
Q6PKG0	LARP1
Q8NBZ0	INO80E
Q9UPN3	MACF1
Q03252	LMNB2
Q9UIF9	BAZ2A
Q8WUM0	NUP133
Q2NL82	TSR1
P22674	CCNO
Q9P2B4	CTTNBP2NL
O75616	ERAL1
P55795	HNRNPH2
Q9P270	SLAIN2
Q9H6K1	ILRUN
Q9C0D5	TANC1
P51649	ALDH5A1
Q5JTV8	TOR1AIP1
Q8TAP6	CEP76
Q9NQB0	TCF7L2
P35520	CBS
Q9Y210	TRPC6
Q96D31	ORAI1
Q684P5	RAP1GAP2
P41220	RGS2
Q03393	PTS
Q76M96	CCDC80
P50548	ERF
Q02224	CENPE
P30041	PRDX6
Q9BY84	DUSP16
Q07889	SOS1
Q96EP5	DAZAP1
O95600	KLF8
Q9NZ72	STMN3
O94953	KDM4B
Q96RS0	TGS1
Q13625	TP53BP2
Q5JQC9	AKAP4
P01100	FOS
P19878	NCF2
Q15700	DLG2
P37231	PPARG
P35398	RORA
Q5T447	HECTD3
P07196	NEFL
Q9BTL3	RAMAC
Q96LC9	BMF
P11308	ERG
P47712	PLA2G4A
Q7L5N1	COPS6
Q14686	NCOA6
P46695	IER3
O60504	SORBS3
Q8IYM1	SEPTIN12
P60981	DSTN
P13224	GP1BB
O96001	PPP1R17
Q9BSF0	C2orf88
P09211	GSTP1
P0DN86	CGB3
P0DN86	CGB5
P0DN86	CGB8
Q01955	COL4A3
Q96S94	CCNL2
Q52LA3	LIN52
Q05193	DNM1
O95721	SNAP29
Q13424	SNTA1
P62993	GRB2
O14744	PRMT5
P41597	CCR2
Q92888	ARHGEF1
Q14814	MEF2D
Q9BQA1	WDR77
Q92879	CELF1
O43791	SPOP
O15105	SMAD7
Q03167	TGFBR3
Q92599	SEPTIN8
O60229	KALRN
P25685	DNAJB1
O60563	CCNT1
Q96BK5	PINX1
O95613	PCNT
Q7L2Z9	CENPQ
Q9Y6D9	MAD1L1
Q15022	SUZ12
Q9BVS4	RIOK2
Q9UJX3	ANAPC7
Q8TCG1	CIP2A
Q9NYZ3	GTSE1
Q9UBW7	ZMYM2
Q8N4N8	KIF2B
Q3KR16	PLEKHG6
Q9H2D6	TRIOBP
Q9NS56	TOPORS
Q9BQQ3	GORASP1
P51587	BRCA2
Q9UBB4	ATXN10
P42898	MTHFR
Q15435	PPP1R7
Q6IBW4	NCAPH2
Q71F23	CENPU
Q9Y266	NUDC
Q9Y2T1	AXIN2
Q92994	BRF1
O95425	SVIL
Q9Y2Z0	SUGT1
Q9Y265	RUVBL1
P30626	SRI
Q2M2Z5	KIZ
P14416	DRD2
Q13136	PPFIA1
P47989	XDH
Q13794	PMAIP1
Q16643	DBN1
Q99490	AGAP2
Q96KR7	PHACTR3
Q9UKV5	AMFR
P04156	PRNP
Q9Y490	TLN1
Q99719	SEPTIN5
P15976	GATA1
Q99828	CIB1
O95551	TDP2
P58400	NRXN1
Q9NVP2	ASF1B
Q9Y294	ASF1A
Q9ULV5	HSF4
Q96SU4	OSBPL9
P56192	MARS1
Q9UHP3	USP25
Q14160	SCRIB
P61587	RND3
Q9NRY4	ARHGAP35
Q8N264	ARHGAP24
O60237	PPP1R12B
Q9UPT6	MAPK8IP3
P32929	CTH
Q9Y6F6	IRAG1
Q8IYU2	HACE1
Q9BV73	CEP250
Q9H9S0	NANOG
P12814	ACTN1
P23634	ATP2B4
Q14451	GRB7
O75962	TRIO
O95071	UBR5
Q2M1Z3	ARHGAP31
Q9H6Z4	RANBP3
Q05195	MXD1
P78371	CCT2
Q53EL6	PDCD4
O14727	APAF1
Q9UBP6	METTL1
Q92882	OSTF1
P41143	OPRD1
P08172	CHRM2
O95398	RAPGEF3
P09497	CLTB
Q9Y2W7	KCNIP3
Q96A54	ADIPOR1
Q9H4E7	DEF6
Q8TDQ0	HAVCR2
Q9P1Z0	ZBTB4
P57682	KLF3
P56545	CTBP2
O00257	CBX4
P00441	SOD1
P55199	ELL
Q641Q2	WASHC2A
P19484	TFEB
Q8IYB3	SRRM1
P51397	DAP
Q9NQG5	RPRD1B
Q86TB9	PATL1
Q9P2Y5	UVRAG
O96018	APBA3
Q8NHG8	ZNRF2
Q9H1K1	ISCU
Q9BRS8	LARP6
Q9BPZ7	MAPKAP1
Q9Y6W6	DUSP10
Q9C0C7	AMBRA1
Q5T4S7	UBR4
Q9H5H4	ZNF768
Q9H063	MAF1
Q9Y2J4	AMOTL2
O95235	KIF20A
Q96AP0	ACD
P55316	FOXG1
P98177	FOXO4
Q6IE81	JADE1
Q9NRF8	CTPS2
P62745	RHOB
Q9H6E5	TUT1
P56537	EIF6
Q5VWQ8	DAB2IP
P46379	BAG6
Q13319	CDK5R2
O75449	KATNA1
P43686	PSMC4
O43684	BUB3
Q12834	CDC20
Q9HAW7	UGT1A7
O75689	ADAP1
Q86XR7	TICAM2
Q14145	KEAP1
P04899	GNAI2
O94925	GLS
P46940	IQGAP1
P05091	ALDH2
P23975	SLC6A2
Q5JXC2	MIIP
Q16612	NREP
P18146	EGR1
P15884	TCF4
P35659	DEK
Q7L9L4	MOB1B
Q9H4B6	SAV1
Q9H8S9	MOB1A
O00161	SNAP23
P42771	CDKN2A
Q8WVB6	CHTF18
Q9Y248	GINS2
Q9Y285	FARSA
Q9UFW8	CGGBP1
Q9NZC9	SMARCAL1
Q14683	SMC1A
Q8IX01	SUGP2
Q03164	KMT2A
Q7Z6Z7	HUWE1
Q9NZN8	CNOT2
Q9BUG6	ZSCAN5A
O94880	PHF14
Q8N4S0	CCDC82
Q8IUQ4	SIAH1
Q13098	GPS1
O43542	XRCC3
P40692	MLH1
Q8TAQ2	SMARCC2
Q8N163	CCAR2
P49006	MARCKSL1
P31946	YWHAB
Q92673	SORL1
Q99962	SH3GL2
Q9BYV9	BACH2
Q16873	LTC4S
Q09161	NCBP1
P28289	TMOD1
Q9BY11	PACSIN1
P36871	PGM1
P51114	FXR1
P19086	GNAZ
Q99426	TBCB
P18669	PGAM1
Q9Y6X9	MORC2
Q15365	PCBP1
P63167	DYNLL1
Q70Z35	PREX2
O94913	PCF11
Q99704	DOK1
Q92569	PIK3R3
P35232	PHB
P55957	BID
Q9UQF2	MAPK8IP1
P61981	YWHAG
Q99523	SORT1
P24752	ACAT1
Q96J02	ITCH
Q13045	FLII
Q96S59	RANBP9
Q7LG56	RRM2B
Q96RU2	USP28
Q6PCD5	RFWD3
Q9UQR1	ZNF148
Q96T60	PNKP
Q8IY92	SLX4
Q6UWZ7	ABRAXAS1
Q8NHY2	COP1
O75150	RNF40
Q5VTR2	RNF20
O15355	PPM1G
Q14839	CHD4
Q9NQS1	AVEN
O00255	MEN1
Q8TAQ5	ZNF420
O96028	NSD2
P15374	UCHL3
Q70CQ2	USP34
Q8N680	ZBTB2
Q9BUR4	WRAP53
Q9NVI1	FANCI
Q969R5	L3MBTL2
Q9Y4E8	USP15
Q8IW19	APLF
Q14161	GIT2
Q5XUX0	FBXO31
Q8WVD3	RNF138
Q92878	RAD50
Q9NZM5	NOP53
O43504	LAMTOR5
P51532	SMARCA4
Q03111	MLLT1
Q86U86	PBRM1
Q99504	EYA3
P50542	PEX5
P51681	CCR5
P30874	SSTR2
P41146	OPRL1
P30419	NMT1
O15117	FYB1
O75051	PLXNA2
Q01628	IFITM3
O14559	ARHGAP33
P07766	CD3E
Q86WV1	SKAP1
Q9UIW2	PLXNA1
O75886	STAM2
Q8TDQ1	CD300LF
Q15858	SCN9A
P35354	PTGS2
Q14254	FLOT2
P31994	FCGR2B
Q9NPH5	NOX4
O14522	PTPRT
Q15762	CD226
Q9NZA1	CLIC5
A8K4G0	CD300LB
Q53HL2	CDCA8
P38646	HSPA9
Q96PE2	ARHGEF17
Q96E14	RMI2
P41145	OPRK1
Q5NUL3	FFAR4
P09758	TACSTD2
Q9BR39	JPH2
O94992	HEXIM1
Q15080	NCF4
P08253	MMP2
Q96RI1	NR1H4
O95243	MBD4
P36542	ATP5F1C
P60880	SNAP25
Q8NF50	DOCK8
Q15311	RALBP1
Q99418	CYTH2
P16150	SPN
P16671	CD36
Q9Y6H6	KCNE3
Q16658	FSCN1
P21359	NF1
P00749	PLAU
Q8N726	CDKN2A
P01589	IL2RA
Q9Y624	F11R
Q13303	KCNAB2
P29972	AQP1
P01730	CD4
Q96PY5	FMNL2
Q05940	SLC18A2
O15519	CFLAR
Q03721	KCNC4
P11234	RALB
Q9BQE3	TUBA1C
Q14994	NR1I3
P35869	AHR
P48050	KCNJ4
P49802	RGS7
Q92681	RSC1A1
P81274	GPSM2
Q01959	SLC6A3
Q96T49	PPP1R16B
P41180	CASR
Q8NFA2	NOXO1
P10599	TXN
P45379	TNNT2
Q8N0W4	NLGN4X
P08567	PLEK
O60500	NPHS1
P41091	EIF2S3
Q12791	KCNMA1
P43119	PTGIR
Q01995	TAGLN
O94759	TRPM2
O94901	SUN1
Q9C0K0	BCL11B
Q01954	BNC1
Q9HAN9	NMNAT1
P22460	KCNA5
Q96AX2	RAB37
Q8TDY4	ASAP3
P50148	GNAQ
Q9NQC7	CYLD
P19438	TNFRSF1A
O95999	BCL10
Q9NP80	PNPLA8
P98179	RBM3
Q8NEM2	SHCBP1
Q99879	H2BC14
Q93079	H2BC9
P58876	H2BC5
P23527	H2BC17
Q6DN03	H2BC20P
P62807	H2BC10
P62807	H2BC4
P62807	H2BC6
P62807	H2BC7
P62807	H2BC8
Q9H410	DSN1
Q53SF7	COBLL1
Q8NEY8	PPHLN1
P05204	HMGN2
Q08J23	NSUN2
Q9H6F5	CCDC86
Q16778	H2BC21
P46778	RPL21
Q9H788	SH2D4A
Q8NG31	KNL1
Q69YH5	CDCA2
Q96CF2	CHMP4C
O60814	H2BC12
Q99877	H2BC15
Q8WYJ6	SEPTIN1
P46783	RPS10
Q9Y2R4	DDX52
P06899	H2BC11
Q6DRA6	H2BC19P
Q5T5U3	ARHGAP21
P45973	CBX5
Q5QNW6	H2BC18
Q8IVT2	MISP
Q9P227	ARHGAP23
Q6NZI2	CAVIN1
Q9Y5B9	SUPT16H
